affirm ==================================================

Combinations of 5 Words ------------------------------
in, the, part, of, town: 28
uh, yes, the, part: 8
uh, yes, the, of: 8
uh, yes, part, of: 8
uh, restaurant, in, part: 8
uh, restaurant, in, of: 8
uh, restaurant, the, part: 8
uh, restaurant, the, of: 8
uh, restaurant, part, of: 8
uh, in, the, part: 8
uh, in, the, of: 8
uh, in, part, of: 8
uh, the, part, town: 8
uh, the, of, town: 8
uh, part, of, town: 8
in, the, west, part: 8
in, the, west, of: 8
in, the, west, town: 8
in, west, part, of: 8
in, west, part, town: 8
in, west, of, town: 8
the, west, part, of: 8
the, west, part, town: 8
the, west, of, town: 8
in, the, south, of: 8
a, restaurant, that, serves: 8
yes, i, that, serves: 8
yes, a, that, serves: 8
uh, yes, looking, restaurant: 8
uh, yes, for, restaurant: 8
uh, looking, for, restaurant: 8
uh, yes, i, a: 7
uh, yes, i, in: 7
uh, i, a, in: 7
uh, i, a, the: 7
yes, i, a, in: 7
yes, i, a, the: 7
yeah, im, looking, for: 7
yes, im, looking, the: 7
yes, im, for, the: 7
yes, im, a, in: 7
yes, a, restaurant, north: 7
yes, a, in, north: 7
yes, a, the, north: 7
yes, restaurant, in, north: 7
yes, restaurant, the, north: 7
im, looking, a, the: 7
im, for, restaurant, the: 7
im, for, in, the: 7
im, a, restaurant, the: 7
im, a, in, the: 7
looking, for, a, the: 7
looking, restaurant, in, of: 7
looking, restaurant, the, of: 7
looking, in, the, of: 7
for, a, restaurant, the: 7
for, a, in, the: 7
a, restaurant, in, north: 7
a, restaurant, the, north: 7
a, in, the, north: 7
restaurant, in, the, north: 7
yes, can, i, have: 7
yes, can, i, a: 7
yes, can, i, in: 7
yes, can, a, restaurant: 7
yes, can, restaurant, in: 7
yes, can, restaurant, the: 7
yes, can, in, the: 7
yes, i, restaurant, town: 7
can, i, restaurant, part: 7
can, i, restaurant, of: 7
can, i, restaurant, town: 7
can, i, in, part: 7
can, i, in, of: 7
can, i, in, town: 7
can, i, the, part: 7
can, i, the, of: 7
can, i, the, town: 7
can, i, part, of: 7
can, i, part, town: 7
can, i, of, town: 7
can, restaurant, in, part: 7
can, restaurant, in, of: 7
can, restaurant, in, town: 7
can, restaurant, the, part: 7
can, restaurant, the, of: 7
can, restaurant, the, town: 7
can, restaurant, part, of: 7
can, restaurant, part, town: 7
can, restaurant, of, town: 7
can, in, the, part: 7
can, in, the, of: 7
can, in, the, town: 7
can, in, part, of: 7
can, in, part, town: 7
can, in, of, town: 7
can, the, part, of: 7
can, the, part, town: 7
can, the, of, town: 7
can, part, of, town: 7
yes, i, expensive, restaurant: 7
uh, restaurant, that, food: 7
uh, restaurant, serves, food: 7
uh, yes, can, i: 7
uh, yes, restaurant, part: 7
uh, yes, restaurant, of: 7
uh, yes, in, part: 7
uh, yes, in, of: 7
uh, yes, the, town: 7
uh, yes, part, town: 7
uh, yes, of, town: 7
uh, can, i, restaurant: 7
uh, i, the, part: 7
uh, i, the, of: 7
uh, i, part, of: 7
uh, restaurant, in, town: 7
uh, restaurant, the, town: 7
uh, restaurant, part, town: 7
uh, restaurant, of, town: 7
uh, in, the, town: 7
uh, in, part, town: 7
uh, in, of, town: 7
yes, west, part, of: 7
yes, west, part, town: 7
yes, west, of, town: 7
restaurant, in, the, south: 7
in, the, south, part: 7
in, the, south, town: 7
in, south, part, of: 7
in, south, of, town: 7
the, south, part, of: 7
the, south, of, town: 7
south, part, of, town: 7
im, looking, restaurant, food: 7
looking, that, serves, food: 7
a, that, serves, food: 7
yes, a, restaurant, that: 7
yes, a, restaurant, serves: 7
yes, a, restaurant, food: 7
uh, yes, im, looking: 7
uh, yes, im, for: 7
uh, im, looking, for: 7
yes, like, a, restaurant: 6
yes, restaurant, and, it: 6
yes, restaurant, it, should: 6
yes, restaurant, it, serve: 6
yes, and, it, should: 6
yes, and, it, serve: 6
restaurant, and, it, should: 6
restaurant, and, it, serve: 6
uh, yes, expensive, restaurant: 6
yes, im, restaurant, the: 6
yes, im, in, the: 6
yes, looking, for, of: 6
yes, looking, a, the: 6
yes, for, a, the: 6
im, for, a, the: 6
im, in, the, of: 6
im, in, the, town: 6
im, in, of, town: 6
im, the, of, town: 6
looking, for, restaurant, part: 6
looking, for, restaurant, of: 6
looking, for, in, part: 6
looking, for, in, of: 6
looking, for, the, part: 6
looking, for, the, of: 6
looking, for, part, of: 6
looking, restaurant, in, part: 6
looking, restaurant, in, town: 6
looking, restaurant, the, part: 6
looking, restaurant, the, town: 6
looking, restaurant, part, of: 6
looking, restaurant, of, town: 6
looking, in, the, part: 6
looking, in, the, town: 6
looking, in, part, of: 6
looking, in, of, town: 6
looking, the, part, of: 6
looking, the, of, town: 6
for, restaurant, in, part: 6
for, restaurant, in, of: 6
for, restaurant, the, part: 6
for, restaurant, the, of: 6
for, restaurant, part, of: 6
for, in, the, part: 6
for, in, the, of: 6
for, in, part, of: 6
for, the, part, of: 6
yes, can, i, part: 6
yes, can, i, of: 6
yes, can, i, town: 6
yes, can, restaurant, part: 6
yes, can, restaurant, of: 6
yes, can, restaurant, town: 6
yes, can, in, part: 6
yes, can, in, of: 6
yes, can, in, town: 6
yes, can, the, part: 6
yes, can, the, of: 6
yes, can, the, town: 6
yes, can, part, of: 6
yes, can, part, town: 6
yes, can, of, town: 6
yes, restaurant, in, east: 6
yes, restaurant, the, east: 6
yes, in, east, part: 6
yes, the, east, part: 6
yes, east, part, of: 6
yes, east, part, town: 6
i, a, restaurant, part: 6
i, a, restaurant, of: 6
i, a, restaurant, town: 6
i, a, in, part: 6
i, a, in, of: 6
i, a, in, town: 6
i, a, the, part: 6
i, a, the, of: 6
i, a, the, town: 6
i, a, part, of: 6
i, a, part, town: 6
i, a, of, town: 6
restaurant, in, the, east: 6
in, the, east, part: 6
in, east, part, of: 6
in, east, part, town: 6
the, east, part, of: 6
the, east, part, town: 6
east, part, of, town: 6
yes, can, i, expensive: 6
yes, can, expensive, restaurant: 6
can, i, expensive, restaurant: 6
uh, yes, can, restaurant: 6
uh, yes, i, part: 6
uh, yes, i, of: 6
uh, yes, a, of: 6
uh, yes, restaurant, town: 6
uh, yes, in, town: 6
uh, i, restaurant, part: 6
uh, i, restaurant, of: 6
uh, i, in, part: 6
uh, i, in, of: 6
uh, i, the, town: 6
uh, i, part, town: 6
uh, i, of, town: 6
uh, a, restaurant, part: 6
uh, a, restaurant, of: 6
uh, a, restaurant, town: 6
uh, a, in, part: 6
uh, a, in, of: 6
uh, a, in, town: 6
uh, a, the, part: 6
uh, a, the, of: 6
uh, a, the, town: 6
uh, a, part, of: 6
uh, a, part, town: 6
uh, a, of, town: 6
yes, a, priced, restaurant: 6
yes, in, the, west: 6
yes, in, west, part: 6
yes, in, west, of: 6
yes, in, west, town: 6
yes, the, west, part: 6
yes, the, west, of: 6
yes, the, west, town: 6
a, moderately, priced, restaurant: 6
yes, in, the, south: 6
restaurant, in, south, part: 6
restaurant, in, south, of: 6
restaurant, the, south, part: 6
restaurant, the, south, of: 6
restaurant, south, part, of: 6
in, south, part, town: 6
the, south, part, town: 6
im, looking, restaurant, that: 6
im, looking, restaurant, serves: 6
im, looking, that, serves: 6
im, looking, that, food: 6
im, looking, serves, food: 6
im, for, restaurant, food: 6
im, restaurant, that, serves: 6
im, restaurant, that, food: 6
im, restaurant, serves, food: 6
im, that, serves, food: 6
looking, for, a, food: 6
looking, for, restaurant, food: 6
looking, for, that, serves: 6
looking, for, that, food: 6
looking, for, serves, food: 6
looking, restaurant, that, serves: 6
looking, restaurant, that, food: 6
looking, restaurant, serves, food: 6
for, that, serves, food: 6
a, restaurant, that, food: 6
a, restaurant, serves, food: 6
in, the, that, serves: 6
uh, i, find, restaurant: 6
yes, i, restaurant, that: 6
yes, i, restaurant, serves: 6
yes, in, that, serves: 6
i, restaurant, that, serves: 6
yes, i, that, food: 6
yes, i, serves, food: 6
yes, a, that, food: 6
yes, a, serves, food: 6
i, that, serves, food: 6
uh, yes, looking, food: 6
uh, yes, for, food: 6
uh, looking, for, food: 6
uh, yes, im, restaurant: 6
uh, im, looking, restaurant: 6
uh, im, for, restaurant: 6
yes, looking, that, serves: 6
yes, looking, that, food: 6
yes, looking, serves, food: 6
uh, yes, a, food: 6
uh, a, restaurant, food: 6
uh, yes, restaurant, it: 5
uh, yes, and, it: 5
uh, yes, it, should: 5
uh, yes, it, serve: 5
uh, a, it, serve: 5
uh, restaurant, and, it: 5
uh, restaurant, it, should: 5
uh, restaurant, it, serve: 5
uh, and, it, should: 5
uh, and, it, serve: 5
yes, a, it, serve: 5
yes, restaurant, and, should: 5
yes, restaurant, and, serve: 5
yes, it, should, serve: 5
a, restaurant, it, serve: 5
a, and, it, serve: 5
restaurant, it, should, serve: 5
and, it, should, serve: 5
yeah, im, looking, restaurant: 5
yeah, im, for, restaurant: 5
yeah, looking, for, restaurant: 5
uh, yes, an, expensive: 5
uh, yes, an, restaurant: 5
uh, an, expensive, restaurant: 5
yes, im, a, the: 5
yes, looking, for, part: 5
yes, looking, restaurant, part: 5
yes, looking, restaurant, of: 5
yes, looking, in, part: 5
yes, looking, in, of: 5
yes, looking, the, part: 5
yes, looking, the, of: 5
yes, looking, part, of: 5
yes, for, restaurant, part: 5
yes, for, restaurant, of: 5
yes, for, in, part: 5
yes, for, in, of: 5
yes, for, the, part: 5
yes, for, the, of: 5
yes, for, part, of: 5
yes, a, north, part: 5
yes, a, north, of: 5
yes, a, north, town: 5
yes, restaurant, north, part: 5
yes, restaurant, north, of: 5
yes, restaurant, north, town: 5
im, looking, restaurant, of: 5
im, looking, restaurant, town: 5
im, looking, in, of: 5
im, looking, in, town: 5
im, looking, the, of: 5
im, looking, the, town: 5
im, looking, of, town: 5
im, restaurant, in, of: 5
im, restaurant, in, town: 5
im, restaurant, the, of: 5
im, restaurant, the, town: 5
im, restaurant, of, town: 5
im, in, the, part: 5
im, in, part, of: 5
im, in, part, town: 5
im, the, part, of: 5
im, the, part, town: 5
im, part, of, town: 5
looking, for, a, of: 5
looking, for, restaurant, town: 5
looking, for, in, town: 5
looking, for, the, town: 5
looking, for, part, town: 5
looking, for, of, town: 5
looking, a, restaurant, of: 5
looking, a, restaurant, town: 5
looking, a, in, of: 5
looking, a, in, town: 5
looking, a, the, of: 5
looking, a, the, town: 5
looking, a, of, town: 5
looking, restaurant, part, town: 5
looking, in, part, town: 5
looking, the, part, town: 5
looking, part, of, town: 5
for, restaurant, in, town: 5
for, restaurant, the, town: 5
for, restaurant, part, town: 5
for, restaurant, of, town: 5
for, in, the, town: 5
for, in, part, town: 5
for, in, of, town: 5
for, the, part, town: 5
for, the, of, town: 5
for, part, of, town: 5
a, restaurant, north, part: 5
a, restaurant, north, of: 5
a, restaurant, north, town: 5
a, in, north, part: 5
a, in, north, of: 5
a, in, north, town: 5
a, the, north, part: 5
a, the, north, of: 5
a, the, north, town: 5
a, north, part, of: 5
a, north, part, town: 5
a, north, of, town: 5
restaurant, in, north, part: 5
restaurant, in, north, of: 5
restaurant, in, north, town: 5
restaurant, the, north, part: 5
restaurant, the, north, of: 5
restaurant, the, north, town: 5
restaurant, north, part, of: 5
restaurant, north, part, town: 5
restaurant, north, of, town: 5
yes, can, have, restaurant: 5
yes, i, have, restaurant: 5
yes, i, a, part: 5
yes, i, a, of: 5
yes, i, a, town: 5
yes, restaurant, east, of: 5
yes, restaurant, east, town: 5
can, i, have, restaurant: 5
can, i, a, in: 5
can, i, a, the: 5
can, i, a, part: 5
can, i, a, of: 5
can, i, a, town: 5
can, a, restaurant, in: 5
can, a, restaurant, the: 5
can, a, restaurant, part: 5
can, a, restaurant, of: 5
can, a, restaurant, town: 5
can, a, in, the: 5
can, a, in, part: 5
can, a, in, of: 5
can, a, in, town: 5
can, a, the, part: 5
can, a, the, of: 5
can, a, the, town: 5
can, a, part, of: 5
can, a, part, town: 5
can, a, of, town: 5
restaurant, in, east, of: 5
restaurant, in, east, town: 5
restaurant, the, east, of: 5
restaurant, the, east, town: 5
restaurant, east, of, town: 5
yes, i, an, expensive: 5
yes, i, an, restaurant: 5
yes, expensive, restaurant, in: 5
yes, expensive, restaurant, the: 5
yes, expensive, in, the: 5
i, an, expensive, restaurant: 5
expensive, restaurant, in, the: 5
uh, yes, i, town: 5
uh, yes, a, part: 5
uh, yes, a, town: 5
uh, can, i, a: 5
uh, can, i, the: 5
uh, can, a, restaurant: 5
uh, i, a, part: 5
uh, i, a, of: 5
uh, i, a, town: 5
uh, i, restaurant, town: 5
uh, i, in, town: 5
yes, can, i, get: 5
yes, a, moderately, priced: 5
yes, a, moderately, restaurant: 5
yes, moderately, priced, restaurant: 5
yes, restaurant, in, south: 5
yes, restaurant, the, south: 5
yes, in, south, of: 5
yes, the, south, of: 5
yes, south, part, of: 5
yes, south, of, town: 5
restaurant, in, south, town: 5
restaurant, the, south, town: 5
restaurant, south, part, town: 5
restaurant, south, of, town: 5
i, restaurant, in, south: 5
i, restaurant, the, south: 5
i, in, the, south: 5
yes, id, like, a: 5
im, looking, for, that: 5
im, looking, for, serves: 5
im, looking, a, food: 5
im, for, a, food: 5
im, for, restaurant, that: 5
im, for, restaurant, serves: 5
im, for, that, serves: 5
im, for, that, food: 5
im, for, serves, food: 5
im, a, restaurant, food: 5
looking, for, restaurant, that: 5
looking, for, restaurant, serves: 5
looking, a, restaurant, food: 5
for, a, restaurant, food: 5
for, restaurant, that, serves: 5
for, restaurant, that, food: 5
for, restaurant, serves, food: 5
a, restaurant, in, that: 5
a, restaurant, in, serves: 5
a, restaurant, in, food: 5
a, in, that, serves: 5
restaurant, in, that, serves: 5
in, the, part, that: 5
in, the, part, serves: 5
in, the, part, food: 5
in, the, of, that: 5
in, the, of, serves: 5
in, the, of, food: 5
in, the, town, that: 5
in, the, town, serves: 5
in, the, town, food: 5
in, part, of, that: 5
in, part, of, serves: 5
in, part, of, food: 5
in, part, town, that: 5
in, part, town, serves: 5
in, part, town, food: 5
in, part, that, serves: 5
in, of, town, that: 5
in, of, town, serves: 5
in, of, town, food: 5
in, of, that, serves: 5
in, town, that, serves: 5
in, that, serves, food: 5
the, part, of, that: 5
the, part, of, serves: 5
the, part, of, food: 5
the, part, town, that: 5
the, part, town, serves: 5
the, part, town, food: 5
the, part, that, serves: 5
the, of, town, that: 5
the, of, town, serves: 5
the, of, town, food: 5
the, of, that, serves: 5
the, town, that, serves: 5
part, of, town, that: 5
part, of, town, serves: 5
part, of, town, food: 5
part, of, that, serves: 5
part, town, that, serves: 5
of, town, that, serves: 5
uh, yes, i, find: 5
uh, yes, find, restaurant: 5
uh, yes, a, that: 5
uh, yes, a, serves: 5
uh, i, find, a: 5
uh, find, a, restaurant: 5
uh, a, restaurant, that: 5
uh, a, restaurant, serves: 5
uh, a, that, serves: 5
yes, i, find, restaurant: 5
yes, find, a, restaurant: 5
yes, in, the, that: 5
yes, in, the, serves: 5
yes, the, that, serves: 5
i, find, a, restaurant: 5
find, a, restaurant, in: 5
find, a, restaurant, the: 5
find, a, restaurant, part: 5
find, a, restaurant, of: 5
find, a, restaurant, town: 5
find, a, in, the: 5
find, a, in, part: 5
find, a, in, of: 5
find, a, in, town: 5
find, a, the, part: 5
find, a, the, of: 5
find, a, the, town: 5
find, a, part, of: 5
find, a, part, town: 5
find, a, of, town: 5
find, restaurant, in, the: 5
find, restaurant, in, part: 5
find, restaurant, in, of: 5
find, restaurant, in, town: 5
find, restaurant, the, part: 5
find, restaurant, the, of: 5
find, restaurant, the, town: 5
find, restaurant, part, of: 5
find, restaurant, part, town: 5
find, restaurant, of, town: 5
find, in, the, part: 5
find, in, the, of: 5
find, in, the, town: 5
find, in, part, of: 5
find, in, part, town: 5
find, in, of, town: 5
find, the, part, of: 5
find, the, part, town: 5
find, the, of, town: 5
find, part, of, town: 5
yes, can, i, food: 5
yes, i, restaurant, food: 5
can, i, restaurant, food: 5
uh, can, i, find: 5
uh, can, find, restaurant: 5
can, i, find, restaurant: 5
uh, yes, im, food: 5
uh, im, looking, food: 5
uh, im, for, food: 5
yes, im, looking, that: 5
yes, im, looking, serves: 5
yes, im, restaurant, that: 5
yes, im, restaurant, serves: 5
yes, im, restaurant, food: 5
yes, im, that, serves: 5
yes, im, that, food: 5
yes, im, serves, food: 5
yes, looking, for, that: 5
yes, looking, for, serves: 5
yes, looking, restaurant, that: 5
yes, looking, restaurant, serves: 5
yes, looking, restaurant, food: 5
yes, for, that, serves: 5
yes, for, that, food: 5
yes, for, serves, food: 5
uh, yes, looking, a: 5
uh, yes, looking, in: 5
uh, yes, for, a: 5
uh, yes, for, in: 5
uh, looking, for, a: 5
uh, looking, for, in: 5
uh, looking, a, restaurant: 5
uh, looking, restaurant, in: 5
uh, for, a, restaurant: 5
uh, for, restaurant, in: 5
yes, i, am, looking: 5
yes, a, cheap, restaurant: 4
uh, yes, a, it: 4
uh, yes, a, serve: 4
uh, yes, restaurant, and: 4
uh, yes, restaurant, should: 4
uh, yes, restaurant, serve: 4
uh, yes, and, should: 4
uh, yes, and, serve: 4
uh, i, it, serve: 4
uh, a, restaurant, it: 4
uh, a, restaurant, serve: 4
uh, a, and, it: 4
uh, a, and, serve: 4
uh, a, it, should: 4
uh, restaurant, and, should: 4
uh, restaurant, and, serve: 4
uh, it, should, serve: 4
yes, i, would, like: 4
yes, i, it, serve: 4
yes, like, a, in: 4
yes, like, a, the: 4
yes, like, restaurant, in: 4
yes, like, restaurant, the: 4
yes, like, in, the: 4
yes, a, restaurant, it: 4
yes, a, restaurant, serve: 4
yes, a, and, it: 4
yes, a, and, serve: 4
yes, a, it, should: 4
yes, restaurant, should, serve: 4
yes, in, the, and: 4
yes, and, should, serve: 4
i, a, it, serve: 4
i, restaurant, it, serve: 4
i, and, it, serve: 4
like, a, restaurant, in: 4
like, a, restaurant, the: 4
like, a, in, the: 4
like, restaurant, in, the: 4
a, restaurant, and, it: 4
a, restaurant, and, serve: 4
a, restaurant, it, should: 4
a, and, it, should: 4
a, it, should, serve: 4
restaurant, and, should, serve: 4
yeah, im, looking, a: 4
yeah, im, for, a: 4
yeah, im, a, restaurant: 4
yeah, looking, for, a: 4
yeah, looking, a, restaurant: 4
yeah, for, a, restaurant: 4
yes, im, looking, north: 4
yes, im, for, north: 4
yes, im, a, north: 4
yes, im, restaurant, north: 4
yes, im, in, north: 4
yes, im, the, north: 4
yes, looking, for, north: 4
yes, looking, for, town: 4
yes, looking, a, north: 4
yes, looking, a, of: 4
yes, looking, restaurant, north: 4
yes, looking, restaurant, town: 4
yes, looking, in, north: 4
yes, looking, in, town: 4
yes, looking, the, north: 4
yes, looking, the, town: 4
yes, looking, part, town: 4
yes, looking, of, town: 4
yes, for, a, north: 4
yes, for, a, of: 4
yes, for, restaurant, north: 4
yes, for, restaurant, town: 4
yes, for, in, north: 4
yes, for, in, town: 4
yes, for, the, north: 4
yes, for, the, town: 4
yes, for, part, town: 4
yes, for, of, town: 4
im, looking, for, north: 4
im, looking, for, part: 4
im, looking, for, of: 4
im, looking, for, town: 4
im, looking, a, north: 4
im, looking, a, of: 4
im, looking, a, town: 4
im, looking, restaurant, north: 4
im, looking, restaurant, part: 4
im, looking, in, north: 4
im, looking, in, part: 4
im, looking, the, north: 4
im, looking, the, part: 4
im, looking, part, of: 4
im, looking, part, town: 4
im, for, a, north: 4
im, for, restaurant, north: 4
im, for, restaurant, part: 4
im, for, restaurant, of: 4
im, for, restaurant, town: 4
im, for, in, north: 4
im, for, in, part: 4
im, for, in, of: 4
im, for, in, town: 4
im, for, the, north: 4
im, for, the, part: 4
im, for, the, of: 4
im, for, the, town: 4
im, for, part, of: 4
im, for, part, town: 4
im, for, of, town: 4
im, a, restaurant, north: 4
im, a, restaurant, of: 4
im, a, restaurant, town: 4
im, a, in, north: 4
im, a, in, of: 4
im, a, in, town: 4
im, a, the, north: 4
im, a, the, of: 4
im, a, the, town: 4
im, a, of, town: 4
im, restaurant, in, north: 4
im, restaurant, in, part: 4
im, restaurant, the, north: 4
im, restaurant, the, part: 4
im, restaurant, part, of: 4
im, restaurant, part, town: 4
im, in, the, north: 4
looking, for, a, north: 4
looking, for, a, part: 4
looking, for, a, town: 4
looking, for, restaurant, north: 4
looking, for, in, north: 4
looking, for, the, north: 4
looking, a, restaurant, north: 4
looking, a, restaurant, part: 4
looking, a, in, north: 4
looking, a, in, part: 4
looking, a, the, north: 4
looking, a, the, part: 4
looking, a, part, of: 4
looking, a, part, town: 4
looking, restaurant, in, north: 4
looking, restaurant, the, north: 4
looking, in, the, north: 4
for, a, restaurant, north: 4
for, a, restaurant, part: 4
for, a, restaurant, of: 4
for, a, restaurant, town: 4
for, a, in, north: 4
for, a, in, part: 4
for, a, in, of: 4
for, a, in, town: 4
for, a, the, north: 4
for, a, the, part: 4
for, a, the, of: 4
for, a, the, town: 4
for, a, part, of: 4
for, a, part, town: 4
for, a, of, town: 4
for, restaurant, in, north: 4
for, restaurant, the, north: 4
for, in, the, north: 4
yes, can, a, in: 4
yes, can, a, the: 4
yes, can, a, part: 4
yes, can, a, of: 4
yes, can, a, town: 4
yes, i, in, east: 4
yes, i, the, east: 4
yes, a, restaurant, east: 4
yes, a, in, east: 4
yes, a, the, east: 4
yes, a, east, of: 4
yes, a, east, town: 4
i, in, the, east: 4
a, restaurant, in, east: 4
a, restaurant, the, east: 4
a, restaurant, east, of: 4
a, restaurant, east, town: 4
a, in, the, east: 4
a, in, east, of: 4
a, in, east, town: 4
a, the, east, of: 4
a, the, east, town: 4
a, east, of, town: 4
yes, can, i, an: 4
yes, can, an, expensive: 4
yes, can, an, restaurant: 4
yes, i, expensive, in: 4
yes, i, expensive, the: 4
yes, an, expensive, in: 4
yes, an, expensive, the: 4
yes, an, restaurant, in: 4
yes, an, restaurant, the: 4
yes, an, in, the: 4
can, i, an, expensive: 4
can, i, an, restaurant: 4
can, an, expensive, restaurant: 4
i, expensive, restaurant, in: 4
i, expensive, restaurant, the: 4
i, expensive, in, the: 4
an, expensive, restaurant, in: 4
an, expensive, restaurant, the: 4
an, expensive, in, the: 4
an, restaurant, in, the: 4
uh, yes, can, a: 4
uh, yes, can, the: 4
uh, can, i, in: 4
uh, can, i, part: 4
uh, can, i, of: 4
uh, can, i, town: 4
uh, can, a, in: 4
uh, can, a, the: 4
uh, can, a, part: 4
uh, can, a, of: 4
uh, can, a, town: 4
uh, can, restaurant, in: 4
uh, can, restaurant, the: 4
uh, can, restaurant, part: 4
uh, can, restaurant, of: 4
uh, can, restaurant, town: 4
uh, can, in, the: 4
uh, can, in, part: 4
uh, can, in, of: 4
uh, can, in, town: 4
uh, can, the, part: 4
uh, can, the, of: 4
uh, can, the, town: 4
uh, can, part, of: 4
uh, can, part, town: 4
uh, can, of, town: 4
yes, can, get, restaurant: 4
yes, can, get, the: 4
yes, i, get, restaurant: 4
yes, i, get, the: 4
can, i, get, restaurant: 4
can, i, get, the: 4
yes, restaurant, south, part: 4
yes, restaurant, south, of: 4
yes, in, south, part: 4
yes, in, south, town: 4
yes, the, south, part: 4
yes, the, south, town: 4
yes, south, part, town: 4
a, restaurant, in, south: 4
a, restaurant, the, south: 4
a, in, the, south: 4
yeah, a, restaurant, food: 4
yes, i, restaurant, south: 4
yes, i, in, south: 4
yes, i, the, south: 4
yes, i, the, north: 4
yes, i, north, part: 4
yes, i, north, of: 4
yes, i, north, town: 4
i, the, north, part: 4
i, the, north, of: 4
i, the, north, town: 4
i, north, part, of: 4
i, north, part, town: 4
i, north, of, town: 4
im, looking, a, that: 4
im, looking, a, serves: 4
im, for, a, that: 4
im, for, a, serves: 4
im, a, restaurant, that: 4
im, a, restaurant, serves: 4
im, a, that, serves: 4
im, a, that, food: 4
im, a, serves, food: 4
looking, for, a, that: 4
looking, for, a, serves: 4
looking, a, restaurant, that: 4
looking, a, restaurant, serves: 4
looking, a, that, serves: 4
looking, a, that, food: 4
looking, a, serves, food: 4
for, a, restaurant, that: 4
for, a, restaurant, serves: 4
for, a, that, serves: 4
for, a, that, food: 4
for, a, serves, food: 4
a, restaurant, the, that: 4
a, restaurant, the, serves: 4
a, restaurant, the, food: 4
a, in, the, that: 4
a, in, the, serves: 4
a, in, the, food: 4
a, the, that, serves: 4
restaurant, in, the, that: 4
restaurant, in, the, serves: 4
restaurant, in, the, food: 4
restaurant, the, that, serves: 4
in, the, that, food: 4
in, the, serves, food: 4
the, that, serves, food: 4
yes, id, like, restaurant: 4
yes, id, a, restaurant: 4
id, like, a, restaurant: 4
uh, yes, i, that: 4
uh, yes, i, serves: 4
uh, yes, find, a: 4
uh, yes, in, that: 4
uh, yes, in, serves: 4
uh, i, find, in: 4
uh, i, find, the: 4
uh, i, find, part: 4
uh, i, find, of: 4
uh, i, find, town: 4
uh, i, restaurant, that: 4
uh, i, restaurant, serves: 4
uh, i, that, serves: 4
uh, find, a, in: 4
uh, find, a, the: 4
uh, find, a, part: 4
uh, find, a, of: 4
uh, find, a, town: 4
uh, find, restaurant, in: 4
uh, find, restaurant, the: 4
uh, find, restaurant, part: 4
uh, find, restaurant, of: 4
uh, find, restaurant, town: 4
uh, find, in, the: 4
uh, find, in, part: 4
uh, find, in, of: 4
uh, find, in, town: 4
uh, find, the, part: 4
uh, find, the, of: 4
uh, find, the, town: 4
uh, find, part, of: 4
uh, find, part, town: 4
uh, find, of, town: 4
uh, a, in, that: 4
uh, a, in, serves: 4
uh, restaurant, in, that: 4
uh, restaurant, in, serves: 4
uh, in, that, serves: 4
yes, i, find, a: 4
yes, i, in, that: 4
yes, i, in, serves: 4
yes, i, the, that: 4
yes, i, the, serves: 4
yes, i, part, that: 4
yes, i, part, serves: 4
yes, i, of, that: 4
yes, i, of, serves: 4
yes, i, town, that: 4
yes, i, town, serves: 4
yes, find, a, in: 4
yes, find, a, the: 4
yes, find, a, part: 4
yes, find, a, of: 4
yes, find, a, town: 4
yes, find, restaurant, in: 4
yes, find, restaurant, the: 4
yes, find, restaurant, part: 4
yes, find, restaurant, of: 4
yes, find, restaurant, town: 4
yes, find, in, the: 4
yes, find, in, part: 4
yes, find, in, of: 4
yes, find, in, town: 4
yes, find, the, part: 4
yes, find, the, of: 4
yes, find, the, town: 4
yes, find, part, of: 4
yes, find, part, town: 4
yes, find, of, town: 4
yes, a, in, that: 4
yes, a, in, serves: 4
yes, restaurant, in, that: 4
yes, restaurant, in, serves: 4
yes, in, part, that: 4
yes, in, part, serves: 4
yes, in, of, that: 4
yes, in, of, serves: 4
yes, in, town, that: 4
yes, in, town, serves: 4
yes, the, part, that: 4
yes, the, part, serves: 4
yes, the, of, that: 4
yes, the, of, serves: 4
yes, the, town, that: 4
yes, the, town, serves: 4
yes, part, of, that: 4
yes, part, of, serves: 4
yes, part, town, that: 4
yes, part, town, serves: 4
yes, part, that, serves: 4
yes, of, town, that: 4
yes, of, town, serves: 4
yes, of, that, serves: 4
yes, town, that, serves: 4
i, find, a, in: 4
i, find, a, the: 4
i, find, a, part: 4
i, find, a, of: 4
i, find, a, town: 4
i, find, restaurant, in: 4
i, find, restaurant, the: 4
i, find, restaurant, part: 4
i, find, restaurant, of: 4
i, find, restaurant, town: 4
i, find, in, the: 4
i, find, in, part: 4
i, find, in, of: 4
i, find, in, town: 4
i, find, the, part: 4
i, find, the, of: 4
i, find, the, town: 4
i, find, part, of: 4
i, find, part, town: 4
i, find, of, town: 4
i, in, the, that: 4
i, in, the, serves: 4
i, in, part, that: 4
i, in, part, serves: 4
i, in, of, that: 4
i, in, of, serves: 4
i, in, town, that: 4
i, in, town, serves: 4
i, in, that, serves: 4
i, the, part, that: 4
i, the, part, serves: 4
i, the, of, that: 4
i, the, of, serves: 4
i, the, town, that: 4
i, the, town, serves: 4
i, the, that, serves: 4
i, part, of, that: 4
i, part, of, serves: 4
i, part, town, that: 4
i, part, town, serves: 4
i, part, that, serves: 4
i, of, town, that: 4
